Ids,Molecular Weight,No. of Hydrogen Bond Donors,No. of Hydrogen Bond Acceptors,TPSA,No. of Rotatable Bonds,C Ratio,N Ratio,NO Ratio,Hetero Ratio,Halogen Ratio,Number of Rings,Number of Aromatic Rings,Number of Rings (size 3),Number of Rings (size 4),Number of Rings (size 5),Number of Rings (size 6),Log(BCF),Log(Koc),Parachor,Index of Refraction,Surface Tension,Density,Polarizability,LogS (pH = 7.40),LogP,LogD (pH = 7.40),LogSw|LogSw,LogSw|pH,pKa(Acid)|pKa,pKa(Base)|pKa,Neutral form (pH = 7.40),Negative form (pH = 7.40),Positive form (pH = 7.40),Total energy (VAMP Electrostatics),Electronic energy (VAMP Electrostatics),Heat of formation (VAMP Electrostatics),HOMO eigenvalue (VAMP Electrostatics),LUMO eigenvalue (VAMP Electrostatics),Molecular surface area (VAMP Electrostatics),Mean polarizability (VAMP Electrostatics)
CID86278354,0.0959105315,0.0410958904,0.1043478261,0.0856066299,0.1390728477,0.5568181818,0.08,0.4875,0.488372093,0,0,0,0,0,0,0,0.339404709,0.339540658,0.2506798579,0.2842105263,0.2406754032,0.2365591398,0.2175678683,0.9412296564,0.5777885313,0.4870797444,0.8482384824,0.1620839363,0.2054463978,0.3618368963,0,1,0,0.9008884375,0.9618938237,0.6475833796,0.2875251604,0.7540275907,0.104634717,0.095510811
DB08865,0.0909328109,0.0410958904,0.052173913,0.040985028,0.0331125828,0.6931818182,0.2266666667,0.25,0.2325581395,0.1369863014,0.25,0.3333333333,0,0,0.125,0.3,0.5588627277,0.5586592179,0.1951011306,0.4736842105,0.2632308468,0.376344086,0.2240765465,0.6835443038,0.7246552141,0.703528758,0.5185185185,0.7366136035,1,0.7842438638,0,0,1,0.9171543399,0.9683085608,0.8684540737,0.4329911781,0.6579955661,0.081371572,0.1002299186
CID5281051,0.103101572,0.0821917808,0.0695652174,0.0817283185,0,0.7954545455,0,0.2625,0.2441860465,0,0.5,0.6666666667,0,0,0,0.8,0.682363394,0.6821849783,0.2245727601,0.9578947368,0.8878528226,0.6129032258,0.2861036938,0.1193490054,0.8117590128,0.8516254515,0.0948509485,0.5658465991,0.3764219235,0,0.17,0.83,0,0.8999307314,0.9548416766,0.7726558055,0.377999084,0.5099931618,0.0741102037,0.1212537316
DB06414,0.0875453517,0.0410958904,0.0608695652,0.0633983047,0.0397350993,0.7045454545,0.28,0.3125,0.2906976744,0.0547945205,0.1875,0.3333333333,0,0,0,0.3,0.5402043536,0.5406579764,0.2017634595,0.5052631579,0.4845640121,0.4301075269,0.2073876279,0.3417721519,0.7188482942,0.7660461239,0.3486901536,0.5658465991,1,0.4445764054,1,0,0,0.9319120406,0.9738972435,0.9049931983,0.3311428686,0.65026796,0.0730261782,0.089541301
CID57379345,0.1151803608,0.0410958904,0.0695652174,0.0597091792,0.059602649,0.7386363636,0.1733333333,0.2625,0.2790697674,0.0410958904,0.25,0.3333333333,0,0,0,0.4,0.5690804087,0.5692116698,0.3020181629,0.3894736842,0.2721144153,0.252688172,0.3058522474,0.561482821,0.7548995887,0.7346485135,0.5040650407,0.6570188133,1,0.7980997625,0,0,1,0.8996113683,0.9515919858,0.8479353488,0.3911663246,0.6184911396,0.1109518549,0.1310183891
DB06772,0.1776639128,0.0410958904,0.1304347826,0.1063908056,0.0993377483,0.75,0.0266666667,0.3125,0.2906976744,0,0.375,0.2222222222,0,0.5,0,0.4,0.653931586,0.6542520174,0.456906188,0.3894736842,0.3107358871,0.2903225806,0.4456497552,0.390596745,0.7495765788,0.8013337038,0.3974706414,0.5658465991,0.5243019648,0.3293745051,1,0,0,0.8240720781,0.8842469857,0.6929696124,0.2907469752,0.6743685354,0.1629462698,0.1901490936
CID46843057,0.0857549018,0.0410958904,0.0434782609,0.0531717545,0.0397350993,0.6590909091,0.2,0.2375,0.2558139535,0.1506849315,0.1875,0.3333333333,0,0,0.25,0.1,0.5099955575,0.5096213532,0.1826440214,0.4736842105,0.2736895161,0.3817204301,0.2085002225,0.5913200723,0.6912654246,0.6996387886,0.5013550136,0.7047756874,0.5873836608,0.7181314331,0.06,0,0.94,0.9248168308,0.9722042662,0.8699358001,0.3239211924,0.617556063,0.0750277394,0.0898599036
CID10302451,0.1115567242,0.0136986301,0.0869565217,0.0475277079,0.0529801325,0.7045454545,0.1733333333,0.325,0.3023255814,0.0410958904,0.375,0.3333333333,0,0,0.125,0.5,0.4913371835,0.4916201117,0.2786304966,0.4421052632,0.3167212702,0.3064516129,0.2914997775,0.5641952984,0.6936849746,0.7257571548,0.5365853659,0.6866859624,1,0.6947743468,0.38,0,0.62,0.8952971332,0.9514425811,0.8268167941,0.3785144733,0.6546759588,0.103224568,0.1246703156
CID42642645,0.1319399614,0.0273972603,0.0869565217,0.0584637052,0.0794701987,0.7386363636,0.12,0.275,0.2558139535,0.0547945205,0.375,0.4444444444,0.3333333333,0,0,0.5,0.5717458907,0.5716945996,0.3279528632,0.4526315789,0.3328503024,0.3172043011,0.3419003115,0.3381555154,0.7207839342,0.7638232842,0.3468834688,0.5897250362,0.5911754567,0.6733966746,0.7,0,0.3,0.8684436072,0.9428578158,0.7960283041,0.3660752021,0.638884597,0.1248549611,0.1420584744
CID46780387,0.0988368824,0.095890411,0.0869565217,0.0944720924,0.0198675497,0.7045454545,0.04,0.3625,0.3372093023,0,0.3125,0.2222222222,0,0,0,0.5,0.4944469125,0.4947237741,0.2326392944,0.5368421053,0.5590347782,0.4462365591,0.2372051624,0.657323689,0.66973143,0.6649069186,0.6639566396,0.6041968162,0.3726301275,0.7446555819,0.02,0.1,0.18,0.899267814,0.9545659835,0.726046326,0.3488450299,0.5849700942,0.0834600335,0.1056475776
DB00207,0.1581061719,0.0684931507,0.1217391304,0.0946350025,0.0463576159,0.7272727273,0.0533333333,0.3375,0.3139534884,0,0.1875,0,0,0,0,0.2,0.5113282985,0.5114835506,0.4373223889,0.3368421053,0.2598916331,0.2150537634,0.407376502,0.8273056058,0.7004597145,0.6913031398,0.6621499548,0.7764109986,0.5960013788,0.7359461599,0.01,0,0.99,0.8424692364,0.8954766683,0.6537551039,0.3385473492,0.8191166854,0.1597742553,0.1769424609
