Name,LogT1/2,Label
DB01100,1.740362689,1
DB00991,1.739572344,1
DB00344,1.73239376,1
DB00348,1.73239376,1
DB05316,1.73239376,1
CID162558,1.73239376,1
DB00238,1.72427587,1
DB00472,1.72427587,1
DB01204,1.72427587,1
DB01591,1.716003344,1
CID24989044,1.713490543,1
CID10090750,1.7084209,1
DB01545,1.707570176,1
DB04933,1.707570176,1
CID9939609,1.700703717,1
CID23634407,1.700703717,1
CID11556427,1.699837726,1
DB08893,1.698970004,1
DB01133,1.698970004,1
DB01217,1.698970004,1
DB05007,1.698970004,1
CID156420,1.698970004,1
CID24946690,1.693726949,1
DB00459,1.69019608,1
CID60741,1.69019608,1
DB01119,1.681241237,1
DB00560,1.681241237,1
DB00566,1.681241237,1
DB01074,1.681241237,1
DB00664,1.681241237,1
DB00317,1.681241237,1
DB05129,1.681241237,1
DB00625,1.67669361,1
CID4951,1.67669361,1
CID25099191,1.67669361,1
CID67505836,1.673941999,1
DB00310,1.672097858,1
DB00672,1.662757832,1
CID2997,1.662757832,1
CID56928089,1.654176542,1
DB00593,1.653212514,1
DB00615,1.653212514,1
DB01340,1.653212514,1
DB01006,1.653212514,1
CID219022,1.653212514,1
CID208901,1.653212514,1
CID444008,1.653212514,1
CID17755248,1.651278014,1
DB01265,1.648360011,1
DB05109,1.643452676,1
DB00811,1.639486489,1
CID16222096,1.62838893,1
CID86278354,1.627365857,1
DB08865,1.62324929,1
CID5281051,1.62324929,1
DB06414,1.612783857,1
CID57379345,1.612783857,1
DB06772,1.612783857,1
CID46843057,1.610660163,1
CID10302451,1.610660163,1
CID42642645,1.607455023,1
CID46780387,1.607455023,1
DB00207,1.602059991,1
DB00362,1.602059991,1
DB04839,1.602059991,1
DB01268,1.602059991,1
DB01556,1.602059991,1
CID4166,1.602059991,1
CID9880,1.602059991,1
CID9869737,1.602059991,1
DB08827,1.598790507,1
DB00381,1.591064607,1
DB00390,1.591064607,1
DB01589,1.591064607,1
DB00377,1.591064607,1
CID5462501,1.591064607,1
DB08864,1.579783597,1
DB00665,1.579783597,1
DB01407,1.574031268,1
CID25134326,1.571708832,1
CID108222,1.57054294,1
DB00682,1.568201724,1
DB08916,1.568201724,1
DB01353,1.568201724,1
DB01244,1.568201724,1
CID6918837,1.568201724,1
DB00530,1.558708571,1
DB00245,1.556302501,1
DB00228,1.556302501,1
DB00970,1.556302501,1
DB01170,1.556302501,1
DB00933,1.556302501,1
DB01078,1.556302501,1
DB01247,1.556302501,1
DB01106,1.556302501,1
DB00857,1.556302501,1
DB04833,1.556302501,1
CID9874592,1.556302501,1
CID49836058,1.550228353,1
CID11285791,1.545307116,1
DB00309,1.544068044,1
DB01012,1.544068044,1
DB06589,1.544068044,1
DB01091,1.544068044,1
DB00241,1.544068044,1
CID53398674,1.544068044,1
DB00396,1.541579244,1
CID9823820,1.537819095,1
DB00351,1.531478917,1
DB00849,1.531478917,1
CID18726,1.531478917,1
CID9324,1.531478917,1
CID6420504,1.531478917,1
CID101524,1.530199698,1
DB00206,1.51851394,1
DB00470,1.51851394,1
CID54677972,1.51851394,1
CID6851740,1.51851394,1
DB01348,1.511883361,1
CID74441062,1.511883361,1
DB05366,1.51054501,1
CID15984937,1.507855872,1
DB00196,1.505149978,1
DB00924,1.505149978,1
CID5747700,1.505149978,1
DB01175,1.505149978,1
CID66414,1.505149978,1
CID6918412,1.505149978,1
CID6918461,1.505149978,1
CID11533060,1.501059262,1
DB00334,1.498999364,1
CID91663278,1.495544338,1
DB00540,1.491361694,1
CID23561093,1.491361694,1
CID5353833,1.491361694,1
CID54676478,1.491361694,1
DB04944,1.491361694,1
DB00481,1.480725379,1
DB00603,1.478566496,1
DB00477,1.477121255,1
DB01403,1.477121255,1
DB01429,1.477121255,1
DB00322,1.477121255,1
DB01395,1.477121255,1
DB01590,1.477121255,1
DB08881,1.477121255,1
DB09009,1.477121255,1
DB00554,1.477121255,1
DB01483,1.477121255,1
CID36687779,1.477121255,1
CID24901704,1.477121255,1
CID489181,1.475671188,1
CID148201,1.474216264,1
DB00555,1.469822016,1
DB00875,1.462397998,1
CID72022,1.462397998,1
CID5288674,1.462397998,1
CID400772,1.451786436,1
CID44603530,1.451786436,1
DB00995,1.447158031,1
DB00418,1.447158031,1
DB08896,1.447158031,1
DB04840,1.447158031,1
DB00282,1.447158031,1
CID9962579,1.447158031,1
DB00304,1.444044796,1
DB00502,1.439332694,1
DB00333,1.431363764,1
DB00967,1.431363764,1
DB01186,1.431363764,1
CID68741,1.431363764,1
DB00659,1.423245874,1
CID23727689,1.423245874,1
DB01595,1.414973348,1
DB01242,1.414973348,1
DB01324,1.414973348,1
DB04938,1.414973348,1
DB01628,1.414973348,1
DB00361,1.414973348,1
DB00997,1.414973348,1
CID65394,1.414973348,1
CID5330286,1.413299764,1
DB00478,1.40654018,1
DB06684,1.404833717,1
DB00835,1.397940009,1
DB01544,1.397940009,1
DB00398,1.397940009,1
DB00294,1.397940009,1
DB01178,1.397940009,1
DB00570,1.394451681,1
CID16678941,1.389166084,1
CID11548630,1.387389826,1
CID121249,1.383815366,1
DB00810,1.380211242,0
DB01406,1.380211242,0
DB00925,1.380211242,0
DB06718,1.380211242,0
DB01349,1.380211242,0
DB08901,1.380211242,0
DB06216,1.380211242,0
DB00511,1.380211242,0
DB01146,1.380211242,0
DB01258,1.380211242,0
DB01351,1.380211242,0
DB01352,1.380211242,0
DB00998,1.380211242,0
DB00990,1.380211242,0
DB01110,1.380211242,0
DB01259,1.380211242,0
DB01273,1.380211242,0
DB00637,1.380211242,0
DB04857,1.380211242,0
CID3755,1.380211242,0
CID10074640,1.380211242,0
DB01121,1.371067862,0
CID6852404,1.371067862,0
DB00191,1.371067862,0
DB04849,1.371067862,0
DB05262,1.367355921,0
DB00726,1.361727836,0
DB00461,1.361727836,0
DB01104,1.361727836,0
DB00679,1.361727836,0
DB01267,1.361727836,0
DB01068,1.361727836,0
CID71301379,1.356025857,0
DB00541,1.354108439,0
DB00557,1.352182518,0
DB04882,1.352182518,0
DB06616,1.352182518,0
DB00250,1.350248018,0
CID44473151,1.348304863,0
CID21923343,1.344392274,0
DB00972,1.342422681,0
DB01151,1.342422681,0
DB00312,1.342422681,0
DB00973,1.342422681,0
CID64924,1.342422681,0
CID188720,1.342422681,0
CID25271791,1.342422681,0
CID159594,1.342422681,0
CID11485656,1.334453751,0
CID58345847,1.33243846,0
CID53394037,1.330413773,0
DB00283,1.328379603,0
CID24771867,1.328379603,0
DB00321,1.322219295,0
DB00594,1.322219295,0
DB00273,1.322219295,0
DB00949,1.322219295,0
DB08604,1.322219295,0
DB06203,1.322219295,0
DB01558,1.322219295,0
DB00189,1.322219295,0
DB01167,1.322219295,0
CID11364421,1.318063335,0
CID90479728,1.311753861,0
CID24848401,1.303196057,0
CID25167017,1.303196057,0
DB01073,1.301029996,0
DB00524,1.301029996,0
DB01208,1.301029996,0
DB01114,1.301029996,0
DB01196,1.301029996,0
DB01039,1.301029996,0
DB01131,1.301029996,0
DB00209,1.301029996,0
DB01176,1.301029996,0
DB01624,1.301029996,0
DB01210,1.301029996,0
DB09016,1.301029996,0
DB06150,1.301029996,0
DB06614,1.301029996,0
DB00829,1.301029996,0
DB00966,1.301029996,0
DB00523,1.301029996,0
DB01263,1.301029996,0
CID78422551,1.301029996,0
DB04886,1.301029996,0
DB05131,1.301029996,0
CID5281751,1.301029996,0
CID66965363,1.301029996,0
CID71587973,1.301029996,0
CID9917021,1.294466226,0
CID6437872,1.28780173,0
CID10368812,1.285557309,0
DB01236,1.278753601,0
